You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4448.021, avg: -19.595
[epoch][s/s_per_e/gs]: [0][232/3029/232], lr: 0.000099875910, loss: 2.215574979782
[epoch][s/s_per_e/gs]: [0][233/3029/233], lr: 0.000099875375, loss: 2.485332965851
[epoch][s/s_per_e/gs]: [0][234/3029/234], lr: 0.000099874840, loss: 2.502631902695
[epoch][s/s_per_e/gs]: [0][235/3029/235], lr: 0.000099874305, loss: 2.802856922150
[epoch][s/s_per_e/gs]: [0][236/3029/236], lr: 0.000099873770, loss: 2.872471332550
[epoch][s/s_per_e/gs]: [0][237/3029/237], lr: 0.000099873235, loss: 2.410610198975
[epoch][s/s_per_e/gs]: [0][238/3029/238], lr: 0.000099872700, loss: 2.125572204590
[epoch][s/s_per_e/gs]: [0][239/3029/239], lr: 0.000099872166, loss: 2.643060922623
[epoch][s/s_per_e/gs]: [0][240/3029/240], lr: 0.000099871631, loss: 2.650140762329
[epoch][s/s_per_e/gs]: [0][241/3029/241], lr: 0.000099871096, loss: 2.639493942261
[epoch][s/s_per_e/gs]: [0][242/3029/242], lr: 0.000099870561, loss: 2.507666110992
[epoch][s/s_per_e/gs]: [0][243/3029/243], lr: 0.000099870026, loss: 2.354787826538
[epoch][s/s_per_e/gs]: [0][244/3029/244], lr: 0.000099869491, loss: 2.409407138824
[epoch][s/s_per_e/gs]: [0][245/3029/245], lr: 0.000099868956, loss: 2.103366613388
[epoch][s/s_per_e/gs]: [0][246/3029/246], lr: 0.000099868421, loss: 2.607240438461
[epoch][s/s_per_e/gs]: [0][247/3029/247], lr: 0.000099867886, loss: 2.300109863281
[epoch][s/s_per_e/gs]: [0][248/3029/248], lr: 0.000099867351, loss: 2.289649486542
[epoch][s/s_per_e/gs]: [0][249/3029/249], lr: 0.000099866816, loss: 2.364347457886
[epoch][s/s_per_e/gs]: [0][250/3029/250], lr: 0.000099866281, loss: 1.994928717613
[epoch][s/s_per_e/gs]: [0][251/3029/251], lr: 0.000099865747, loss: 2.393053531647
[epoch][s/s_per_e/gs]: [0][252/3029/252], lr: 0.000099865212, loss: 3.395957469940
[epoch][s/s_per_e/gs]: [0][253/3029/253], lr: 0.000099864677, loss: 2.810222864151
[epoch][s/s_per_e/gs]: [0][254/3029/254], lr: 0.000099864142, loss: 2.466140270233
[epoch][s/s_per_e/gs]: [0][255/3029/255], lr: 0.000099863607, loss: 2.556187152863
[epoch][s/s_per_e/gs]: [0][256/3029/256], lr: 0.000099863072, loss: 2.300875425339
[epoch][s/s_per_e/gs]: [0][257/3029/257], lr: 0.000099862537, loss: 2.289705514908
[epoch][s/s_per_e/gs]: [0][258/3029/258], lr: 0.000099862002, loss: 2.561611652374
[epoch][s/s_per_e/gs]: [0][259/3029/259], lr: 0.000099861467, loss: 2.223189830780
[epoch][s/s_per_e/gs]: [0][260/3029/260], lr: 0.000099860932, loss: 2.064659595490
[epoch][s/s_per_e/gs]: [0][261/3029/261], lr: 0.000099860397, loss: 1.999581456184
[epoch][s/s_per_e/gs]: [0][262/3029/262], lr: 0.000099859862, loss: 2.297325611115
